feature,importance
radiation_ratio,5.66725057349882
days_since_maintenance,3.7084914975211296
avalon_raw_risk_score,2.9798702599684717
sensor_anomaly_flag,2.2363357212567094
physical_risk_index,2.2284443885409897
reactor_age_years,1.8792762549575035
control_effectiveness,1.6465412459353834
co2_avoided_tons_per_hour,1.583806777836424
temp_age_interaction,1.5660962171895578
radiation_differential,1.5066344608929247
radiation_inside_uSv,1.4972474156820317
pressure_flow_interaction,1.4956967893586655
coolant_pressure_bar,1.4026044330780694
maintenance_score,1.3853214388353563
reactor_nominal_power_mw,1.2693129274501445
thermal_stress,1.1856313090692245
control_rod_position_pct,1.1835949098426026
pressure_squared,1.103939988758326
core_temp_c,0.9243154933258971
thermal_margin,0.9243154933257667
radiation_log,0.8270877934791353
staff_risk,0.8231462054178758
avalon_bias,0.8112238020902633
coolant_efficiency,0.7685764230503633
radiation_outside_uSv,0.6695049925358856
avalon_learned_reward_score,0.6572141997176575
maintenance_risk,0.6520197284478544
staff_fatigue_index,0.5841460790326399
env_risk_index,0.5113783217394627
load_factor_pct,0.5048334002548925
seismic_activity_index,0.4533173605817845
population_risk,0.4511575140907134
operational_risk_index,0.42709646653565403
core_temp_squared,0.41022404944606794
external_threat,0.39294352368143165
public_anxiety_index,0.36188581134106
weather_severity_index,0.3351906131528923
avalon_confidence,0.33279004197662815
age_power_risk,0.31401319473024963
cyber_attack_score,0.28640429168742426
neutron_flux,0.27139691298828955
population_within_30km,0.2582525432437077
reactor_type_code,0.19964585722275943
backup_generator_health,0.19793375810115676
social_media_rumour_index,0.1847850105652619
market_price_eur_mwh,0.18355458879342673
coolant_flow_rate,0.17680190827803532
regulator_scrutiny_score,0.15213250387277422
social_pressure,0.13891354333181943
country_encoded,0.11823460694965811
ambient_temp_c,0.11056589745674968
grid_demand_index,0.09658140304402152
year,0.05407936701885856
